timestamp(ms);elapse-time(ms);tx-load
181674;202;10
181755;626;12
181832;563;13
181990;964;12
182091;526;10
182228;570;10
182309;639;12
182392;644;11
182484;657;11
182567;658;11
182575;188;8
182829;747;7
182945;721;8
183137;1152;15
183291;812;13
183398;836;14
183487;917;16
183573;750;15
183653;716;15
183746;706;15
183753;187;10
183839;556;14
183924;533;15
184088;959;12
184173;525;10
184263;523;11
184346;598;11
184430;597;10
184531;613;10
184647;641;11
184659;235;9
184758;591;10
185042;786;10
185257;1175;16
185343;819;13
185423;784;13
185506;856;14
185590;837;15
185674;639;14
185770;630;14
185778;193;11
185864;527;13
185948;531;14
186100;849;12
186182;513;8
186286;522;10
186402;629;11
186512;654;12
186619;676;13
186715;692;13
186725;218;8
186837;661;13
186918;639;14
187078;983;14
187160;548;11
187240;530;12
187320;601;12
187399;569;13
187478;565;13
187556;556;13
187566;173;9
187676;520;13
187763;529;6
187945;872;12
188060;587;10
188160;609;12
188260;699;12
188361;690;11
188469;711;13
188558;716;14
188566;213;10
188648;593;11
188728;574;12
188885;946;12
189075;613;11
189160;607;11
189254;693;11
189346;704;11
189438;715;12
189529;721;14
189539;198;9
189662;593;14
189778;623;6
189969;1090;12
190071;639;8
190161;638;10
190243;711;11
190598;943;14
190693;922;15
190775;906;13
190785;193;7
190894;829;12
190982;826;8
191166;1204;14
191297;611;10
191402;632;11
191500;721;12
191608;719;13
191803;828;16
191889;829;16
191897;296;10
191989;699;13
192076;680;13
192247;1092;13
192339;541;10
192426;542;11
192523;631;12
192611;627;12
192697;627;12
192789;632;12
192797;192;9
192916;583;11
193033;611;7
193250;1010;12
193359;667;11
193468;685;11
193549;757;11
193640;735;12
193720;696;11
193840;701;12
193850;215;9
193935;584;12
194182;719;8
194356;1112;14
194456;741;12
194581;746;11
194686;842;14
194774;844;15
194874;697;14
194977;706;15
194989;221;10
195087;637;15
195175;605;16
195331;981;12
195410;543;11
195498;525;11
195578;597;12
195661;580;12
195748;578;11
195847;590;10
195855;199;10
195943;538;11
196037;544;8
196460;1134;14
196642;900;11
196764;923;13
196856;1006;15
196948;1010;16
197030;999;16
197116;981;18
197124;181;9
197220;583;14
197311;554;7
